,State,2013 Under 5 years,2014 - Under 5 years,2015 - Under 5 years,2016 - Under 5 years,2017 - Under 5 years,2013 - 5 to 9 years,2014 - 5 to 9 years,2015 - 5 to 9 years,2016 - 5 to 9 years,2017 - 5 to 9 years,2013 - 10 to 14 years,2014 - 10 to 14 years,2015 - 10 to 14 years,2016 - 10 to 14 years,2017 - 10 to 14 years,2013 - 15 to 19 years,2014 - 15 to 19 years,2015 - 15 to 19 years,2016 - 15 to 19 years,2017 - 15 to 19 years,2013 - 20 to 24 years,2014 - 20 to 24 years,2015 - 20 to 24 years,2016 - 20 to 24 years,2017 - 20 to 24 years,2013 - 25 to 29 years,2014 - 25 to 29 years,2015 - 25 to 29 years,2016 - 25 to 29 years,2017 - 25 to 29 years,2013 - 30 to 34 years,2014 - 30 to 34 years,2015 - 30 to 34 years,2016 - 30 to 34 years,2017 - 30 to 34 years,2013 - 35 to 39 years,2014 - 35 to 39 years,2015 - 35 to 39 years,2016 - 35 to 39 years,2017 - 35 to 39 years,2013 - 40 to 44 years,2014 - 40 to 44 years,2015 - 40 to 44 years,2016 - 40 to 44 years,2017 - 40 to 44 years,2013 - 45 to 49 years,2014 - 45 to 49 years,2015 - 45 to 49 years,2016 - 45 to 49 years,2017 - 45 to 49 years,2013 - 50 to 54 years,2014 - 50 to 54 years,2015 - 50 to 54 years,2016 - 50 to 54 years,2017 - 50 to 54 years,2013 - 55 to 59 years,2014 - 55 to 59 years,2015 - 55 to 59 years,2016 - 55 to 59 years,2017 - 55 to 59 years,2013 - 60 to 64 years,2014 - 60 to 64 years,2015 - 60 to 64 years,2016 - 60 to 64 years,2017 - 60 to 64 years,2013 - 65 to 69 years,2014 - 65 to 69 years,2015 - 65 to 69 years,2016 - 65 to 69 years,2017 - 65 to 69 years,2013 - 70 to 74 years,2014 - 70 to 74 years,2015 - 70 to 74 years,2016 - 70 to 74 years,2017 - 70 to 74 years,2013 - 75 to 79 years,2014 - 75 to 79 years,2015 - 75 to 79 years,2016 - 75 to 79 years,2017 - 75 to 79 years,2013 - 80 to 84 years,2014 - 80 to 84 years,2015 - 80 to 84 years,2016 - 80 to 84 years,2017 - 80 to 84 years,2013 - 85 years and over,2014 - 85 years and over,2015 - 85 years and over,2016 - 85 years and over,2017 - 85 years and over
10,Georgia,661418,658572,659468,660269,660313,703090,702391,701427,698738,693368,705888,710130,710817,715197,722364,695041,697007,707043,716597,723736,728256,733521,731064,722810,718348,679409,694761,713445,735430,755708,685364,687413,687969,691671,697618,657599,661628,673210,687135,697558,716758,708775,695359,676922,669908,699836,692905,697520,709984,717726,698824,707102,710172,706896,701360,626200,638908,653014,665419,673810,529487,541073,555804,571283,589752,429928,452655,474979,497123,495732,299442,315870,330162,342230,375147,201471,210756,219168,229110,241769,136916,139541,143900,148208,152565,126846,130842,135012,138598,142597
11,Hawaii,91909,92451,92648,91521,90109,86098,85885,86059,86578,86792,82088,82159,82201,81600,81998,80046,78717,78248,77690,77031,101796,102023,100440,97458,93997,102823,103542,105047,106402,105478,98291,100239,101311,101609,101082,86883,88667,91353,93409,95486,89268,87750,85641,84204,83916,89116,87924,87693,87462,87097,95312,94226,92331,90412,87920,94873,94770,94561,93584,92419,88182,89100,89685,90448,90653,72463,75674,78952,81612,81950,48560,52313,55594,58272,62986,34709,35532,36762,38215,40134,29615,29209,28866,28524,28149,36006,37529,38928,39683,40341
12,Idaho,114655,113915,113857,115024,117037,122901,123219,122828,122795,122937,120691,122372,123537,125166,128315,113813,115404,116963,119770,121560,112572,112726,111337,111828,112737,104951,106545,108310,111628,115400,106861,107535,107729,108559,110319,99229,102113,104939,108714,112256,97473,97488,97603,97948,100362,94971,94456,95623,98166,100265,105151,104469,102629,100444,99107,102783,103808,105154,106834,107906,92469,94947,97645,100603,103841,75421,79564,83994,89655,91313,55376,58233,60790,63161,69539,37668,39698,41266,43403,46115,26675,27005,27678,28416,29327,26527,26894,27442,27912,28607
13,Illinois,800356,792906,786492,779202,773049,841412,828182,817071,804374,790696,857522,851517,840896,832114,826055,874959,860124,851251,844690,836129,903543,905134,897438,883088,866359,895275,893886,893261,897888,903566,896260,895503,887566,882292,872507,824289,829423,839588,847855,851956,859217,842981,821598,797501,787212,867959,848121,839997,840233,834022,926951,917300,899310,873569,848886,867322,877507,884298,886762,879674,722650,738996,756872,770727,786514,558916,583914,612009,641077,641188,410110,423480,434098,442947,475801,299861,307702,312591,319302,331745,229974,227487,226402,227953,230767,253827,258275,261313,264152,265897
14,Indiana,420216,419674,419769,420490,421176,443609,440343,437994,434717,431782,450625,449881,446002,444305,446631,457372,455851,456484,457646,457089,485676,489181,486836,481324,474605,416039,421520,427469,437611,451628,423921,422873,419943,418265,417176,398986,403206,409378,416605,421637,425287,419509,410843,398454,395141,432637,421350,417374,420883,421091,470410,467211,458633,445025,433365,447972,452300,455551,457580,455176,380114,388459,397753,406395,415431,296862,311598,326228,342921,344058,217990,225034,231234,235245,254886,156940,161659,164348,169313,176128,118681,117206,117034,118073,119758,124147,126327,127723,129155,130060
15,Iowa,195863,196270,196611,198204,198996,205558,206120,206150,204349,202699,202318,203025,202873,204158,206604,213361,213416,214400,214682,214844,229732,232903,233169,231549,229342,190780,190965,191579,194534,200167,198528,199879,199690,198803,195476,177513,182617,188235,194004,198847,183540,179929,177086,173493,174241,192609,187731,185990,186315,185137,220428,217231,210903,202819,195742,214311,215304,216436,217464,216279,186450,190762,195478,198436,201280,142373,149380,157603,166876,168857,107054,109622,111452,113008,122654,84082,85494,86042,86997,88979,67342,66118,65798,66029,66230,78034,78797,78978,79149,79337
16,Kansas,200865,199012,196831,194794,193139,204716,203764,203352,201610,199804,200751,200503,199496,199108,200285,199798,199533,199830,200206,200277,217538,219770,220785,218180,215302,192123,190893,190718,191081,193961,193181,194788,194473,192985,189826,171569,174912,179462,183907,187477,173081,170105,166927,164034,164290,176278,170512,168813,168943,168668,201403,198433,192577,184516,176887,193758,194578,195064,195546,193787,163681,168095,172594,176129,179857,125723,131542,138161,146138,147112,90711,94095,96848,98901,107945,69332,70385,71140,72559,74816,55851,55235,54631,54560,54748,62541,63398,64087,64534,64942
17,Kentucky,276329,275898,275877,276707,276883,284721,282986,280762,279064,277064,284869,284049,282261,282177,284346,285128,283953,286185,287568,287470,316104,316465,312690,306666,303192,278129,281972,288035,297811,305616,286913,284255,280027,276664,275380,272456,274176,277629,281092,282075,291385,285895,279996,271255,268165,298711,290725,286823,288387,288769,319857,318820,315217,307302,299321,304730,307144,308840,310350,309915,265866,269820,275350,279648,284644,213706,224049,233874,244491,243069,156324,160871,164603,167458,182324,110658,114117,116826,120469,125071,78423,78699,79207,80279,81272,74812,76521,77855,78725,79613
18,Louisiana,308125,309451,311783,312548,312038,313824,313898,312768,311161,305990,308892,307539,304914,304187,306171,301980,299684,300891,301975,299669,353840,350164,341745,329189,319682,337284,341248,345851,350999,350637,325263,329595,331888,331962,329050,278249,285660,295056,304447,310019,283496,278819,273791,268922,268429,297548,288985,284466,283738,281186,325964,322721,316575,307527,297888,313348,315811,317827,318134,315776,264061,270744,278580,284566,290415,206903,216668,227213,239267,239283,149725,155015,159765,163312,177136,107542,110405,113044,116491,120723,78001,77782,78524,79320,80313,72750,74608,76530,78412,79928
19,Maine,65546,64816,64248,64394,64502,72382,71396,70486,69327,68426,75669,74732,73873,73397,73474,82931,81693,80928,80463,79404,80325,79806,78534,77593,76490,75154,76864,77560,78600,80100,74485,74972,75628,76978,78313,72572,72671,73550,75109,76900,85701,82962,79632,76107,74434,95685,92303,90211,89325,87947,109305,107838,104994,101469,98271,107520,107953,108408,108644,108161,96045,97896,99660,101327,103271,77902,81991,86154,90639,90592,54761,57756,59960,61675,67928,39956,40772,41319,42318,44249,30493,30432,30506,30543,30717,31543,32050,32136,32324,32728
20,Maryland,365777,368493,368555,367178,366385,372898,373838,373907,375261,373822,376549,376722,374442,373877,376701,391559,387288,386045,386349,384864,403558,402744,398017,391270,386422,412601,415746,418521,420691,421451,402808,408177,411431,413653,416467,366951,374230,383922,393892,402680,403587,392968,381825,370081,366730,434798,423054,417170,414557,409559,454873,455949,452552,443922,434418,411594,419893,426751,431944,433380,341048,348108,357386,364860,374627,268580,281319,293258,305992,304530,188074,197036,205256,211235,229045,130542,135364,139473,144994,152818,98793,98829,99514,100364,101780,108064,110487,112536,114632,116498
21,Massachusetts,364731,364552,364111,361580,360588,380750,376302,373696,372184,370299,399785,398556,394807,391730,390350,461115,459176,457924,456805,454957,486716,491184,492593,494737,494160,478516,487247,492363,495015,499621,439207,447585,455352,465068,474310,399421,405048,412543,420723,430635,444520,432644,419401,405692,399866,487245,475857,468440,463001,455142,509931,511826,508445,499767,489830,470886,479958,486951,492225,493492,397203,406349,417635,427022,437960,317124,333026,348248,363955,362368,221460,232636,242912,250999,274343,163296,166837,169578,173701,180971,133331,131266,130393,130157,130437,155901,157876,158610,159360,160490
22,Michigan,574171,573923,572122,572608,573282,614628,605600,598684,592918,587969,650668,643846,633493,625051,622193,687808,677720,672059,668241,661340,734786,740382,730329,714196,702672,589782,604084,625265,651828,676087,591206,591231,589580,591252,593016,563035,566648,574123,583608,592177,639620,622008,598820,574381,563657,676099,657203,649482,648522,642154,743815,735696,720345,699614,680338,726767,731889,733306,732628,725134,619200,633382,648588,660604,675096,483385,506581,531707,560236,562365,353062,367011,377911,385798,416853,250809,257818,262188,269481,283027,193126,189757,188728,189438,191193,207252,209896,211440,213041,213758
23,Minnesota,348074,349603,350130,352524,355231,363381,362121,361363,360827,360273,354907,358147,359212,361772,367227,358066,355880,355447,356518,356916,362196,365092,365525,366659,364398,366096,365109,363492,364571,371917,377297,381915,383454,384552,385258,327300,336805,348428,361825,374665,340632,332639,324691,317588,319798,362466,352468,347922,347027,343687,408388,404152,394615,381228,367999,377579,384178,390958,396519,397170,316828,326871,335924,343488,351858,237343,250004,264319,281304,286348,173951,180682,186201,190433,206757,127437,131494,134814,138698,144373,99491,99051,99181,100545,102161,114642,116438,117562,118972,120570
24,Mississippi,196322,193138,191317,189668,187177,209782,209401,206874,203278,197812,206373,205206,202992,202662,205268,209892,207460,207432,207820,206300,228220,226433,221206,214789,209390,193240,196209,198845,203622,207379,196097,194598,191614,188975,186213,180070,181855,184674,187475,188901,189281,186510,182273,177553,175194,189777,184740,183010,184609,185592,206415,204624,200624,195080,189280,197851,199184,199888,200523,199550,169999,173301,177185,180257,184525,137870,143380,149918,156685,155792,102104,105009,107097,108818,118198,74295,76655,78049,79705,81964,51827,51592,52164,53057,54104,48306,49283,50135,50839,51461
25,Missouri,376664,376033,375506,374616,374479,391752,389562,386899,384198,381099,392284,390868,388578,388608,390672,398489,395082,395361,395395,393256,435087,435146,430391,422417,414417,398330,401297,405413,412337,422125,398429,400632,399671,399677,398738,354888,360904,370199,380571,388138,375646,368907,360148,349395,347436,390962,378121,373164,375340,374184,444863,440294,429746,413690,397700,418398,423759,428987,433066,432409,357693,364986,373584,381497,391846,288980,300391,313146,328333,327895,217838,225319,230394,233430,251437,158842,162194,164831,169377,176192,119308,119387,119801,120801,121509,122689,125132,126821,128428,130000
26,Montana,61374,61610,62088,62743,63291,63227,63757,63917,63831,63540,61541,61930,62397,63063,64241,63980,63389,63132,63369,63440,72927,73771,73691,73449,72723,63215,63692,65003,66635,69217,64349,65322,65532,65805,65807,56948,58851,61275,63585,65735,57597,56944,56283,55798,57060,60476,58657,57984,58715,58965,74274,72330,69819,66607,63782,77887,77467,77108,76773,75851,70871,72721,74110,75268,76318,54633,57749,61367,65470,66623,39462,41396,42793,43875,48174,27650,28537,29468,30854,32221,20139,20016,20106,20490,21121,21371,21792,22244,22326,22384
27,Nebraska,130446,130714,131728,132468,133061,132992,133284,133384,133172,132685,127411,128985,130123,131370,132569,127731,127749,128452,129574,130545,134273,137202,138777,139438,137891,125359,124282,122982,123912,126618,127799,129664,130202,130036,128897,111927,114371,117937,121968,125551,111574,110712,109904,108803,109122,113308,110339,109280,109623,110194,130174,128321,124535,119771,114969,123895,124922,126083,126937,126606,107033,109574,112096,114095,115995,80353,84858,89813,95613,97080,58465,60662,62515,64070,69900,46108,46732,47057,47693,48946,37341,36808,36560,36378,36451,41225,41741,42136,42682,42996
28,Nevada,178425,178904,180600,182908,185837,186496,188082,190289,192155,191754,183130,184404,185943,188729,193279,175072,175245,176152,178429,180314,186975,187251,185184,183765,183306,199193,204469,211823,219140,225703,199548,203043,206104,210299,214655,184736,187572,193284,199642,206160,195541,194500,192045,189705,190908,189382,189556,192787,197899,201409,189906,193368,194785,195043,194842,177664,181108,184618,188629,192147,159274,163182,168128,173030,178666,138551,145433,153048,159703,159163,99585,105596,110870,115818,127168,65579,69411,73429,77407,82272,42183,43435,45132,46699,48928,35307,37171,38836,40254,41528
29,New Hampshire,65229,64540,64259,64024,64481,73792,72285,70908,70070,68926,80255,79248,78205,77297,76596,90741,89254,87519,86268,85385,88772,90584,91104,91110,90444,75756,77867,78974,80516,83116,74877,76030,76925,78484,80303,72477,72693,73511,75347,77299,89525,85745,81528,77093,74733,101480,97935,95581,94358,92327,113351,112346,110238,106880,103744,105208,107549,109015,110676,110710,87750,90052,92817,95480,98574,70068,74082,77709,81554,81368,47285,50284,52444,54424,60403,32903,33906,34582,35735,38055,25471,25611,25804,26070,26277,27682,28673,29011,29629,30054
30,New Jersey,531074,530380,527648,523454,521718,557909,552287,547615,545385,541681,576175,574555,569171,565684,565505,583333,577613,573794,570783,566987,571817,578821,578729,575151,570345,562327,565827,570431,576785,587603,576105,578352,577521,581563,583470,563961,567509,573490,579698,586937,620282,605704,588951,572898,566757,663126,647516,638154,632093,623207,688794,687987,681738,669455,656026,622852,635844,645751,652439,653261,505447,517530,532704,547119,563544,407780,423678,439689,454952,450772,296121,307347,317343,326904,351672,217907,222602,226899,231736,241391,174628,172149,170267,169834,170700,194097,197309,200106,202483,204068
