,State,2013 Under 5 years,2014 - Under 5 years,2015 - Under 5 years,2016 - Under 5 years,2017 - Under 5 years,2013 - 5 to 9 years,2014 - 5 to 9 years,2015 - 5 to 9 years,2016 - 5 to 9 years,2017 - 5 to 9 years,2013 - 10 to 14 years,2014 - 10 to 14 years,2015 - 10 to 14 years,2016 - 10 to 14 years,2017 - 10 to 14 years,2013 - 15 to 19 years,2014 - 15 to 19 years,2015 - 15 to 19 years,2016 - 15 to 19 years,2017 - 15 to 19 years,2013 - 20 to 24 years,2014 - 20 to 24 years,2015 - 20 to 24 years,2016 - 20 to 24 years,2017 - 20 to 24 years,2013 - 25 to 29 years,2014 - 25 to 29 years,2015 - 25 to 29 years,2016 - 25 to 29 years,2017 - 25 to 29 years,2013 - 30 to 34 years,2014 - 30 to 34 years,2015 - 30 to 34 years,2016 - 30 to 34 years,2017 - 30 to 34 years,2013 - 35 to 39 years,2014 - 35 to 39 years,2015 - 35 to 39 years,2016 - 35 to 39 years,2017 - 35 to 39 years,2013 - 40 to 44 years,2014 - 40 to 44 years,2015 - 40 to 44 years,2016 - 40 to 44 years,2017 - 40 to 44 years,2013 - 45 to 49 years,2014 - 45 to 49 years,2015 - 45 to 49 years,2016 - 45 to 49 years,2017 - 45 to 49 years,2013 - 50 to 54 years,2014 - 50 to 54 years,2015 - 50 to 54 years,2016 - 50 to 54 years,2017 - 50 to 54 years,2013 - 55 to 59 years,2014 - 55 to 59 years,2015 - 55 to 59 years,2016 - 55 to 59 years,2017 - 55 to 59 years,2013 - 60 to 64 years,2014 - 60 to 64 years,2015 - 60 to 64 years,2016 - 60 to 64 years,2017 - 60 to 64 years,2013 - 65 to 69 years,2014 - 65 to 69 years,2015 - 65 to 69 years,2016 - 65 to 69 years,2017 - 65 to 69 years,2013 - 70 to 74 years,2014 - 70 to 74 years,2015 - 70 to 74 years,2016 - 70 to 74 years,2017 - 70 to 74 years,2013 - 75 to 79 years,2014 - 75 to 79 years,2015 - 75 to 79 years,2016 - 75 to 79 years,2017 - 75 to 79 years,2013 - 80 to 84 years,2014 - 80 to 84 years,2015 - 80 to 84 years,2016 - 80 to 84 years,2017 - 80 to 84 years,2013 - 85 years and over,2014 - 85 years and over,2015 - 85 years and over,2016 - 85 years and over,2017 - 85 years and over
41,South Dakota,60130,60677,60978,61450,61759,60033,60234,60440,60349,60372,55131,55997,56657,57862,59303,56707,56712,56423,56537,56675,60603,60719,60543,60480,59550,56164,56274,55964,56156,57257,55513,56300,56295,56410,56348,47571,48938,50880,52818,54536,47276,46728,45992,45697,46458,50178,48366,47499,47507,47425,59533,58789,56633,54289,52109,58189,58490,59120,59491,59476,51125,52960,54431,55783,56774,37732,40299,43394,46850,48277,27478,28483,29228,30114,32952,21437,21648,21697,21762,22463,17688,17349,17177,17242,17151,20025,20492,20685,20745,20781
42,Tennessee,399904,400535,403213,406292,408644,417989,418242,416781,415240,414037,422103,421715,420164,421197,425460,417793,417313,419896,423138,424972,461000,462315,457872,451415,447062,423344,434842,449741,467579,483349,424577,426551,426183,429089,432647,402127,405526,412258,420664,427515,439427,433239,423694,410462,407049,438914,431634,431781,438700,442663,462883,464844,462257,455728,448936,442832,446113,450388,453894,454707,388024,394390,403455,411809,422341,324667,339073,352540,367481,364188,236042,245591,253245,259145,281961,165138,170644,175556,181051,189892,115616,116525,118235,120836,122658,108415,110915,113467,115684,117903
43,Texas,1936629,1959182,1986658,2009215,2031625,1998175,2013648,2031225,2043113,2041346,1968155,1996287,2016756,2037356,2065071,1893891,1914209,1947826,1981055,2004901,1961384,1992517,2004245,1999984,1991523,1925170,1970022,2023128,2072691,2116217,1919575,1963075,1995830,2026770,2045823,1775819,1812399,1869494,1925467,1975264,1808704,1823315,1828433,1821174,1829485,1705086,1705675,1737208,1786618,1825100,1746828,1760428,1757360,1740367,1720765,1579713,1616647,1654852,1684415,1700705,1296648,1338603,1387133,1433996,1484059,1020653,1071986,1126570,1185889,1196426,716318,754933,789522,817204,892810,512725,528629,543986,565146,590935,366436,372043,379913,388409,397150,347370,360838,374741,385993,395391
44,Utah,256069,253861,252466,253338,255200,260505,260759,261412,261612,259180,244660,248941,252337,256862,262151,222197,225123,230695,236955,242153,247309,248616,250247,251244,253676,213938,215513,219575,230094,240114,226906,225403,222560,220206,217309,201169,209164,217526,224560,228819,171463,175473,179619,185094,193728,149036,150649,155266,162027,167480,155656,155167,153343,151117,150052,146500,148640,151211,153539,154678,122285,127095,131982,136872,141721,94474,99572,105743,113009,115544,68445,72467,75636,78302,85717,49683,51285,52890,55038,57748,35967,36409,37112,38085,39288,33699,34534,35297,36367,37275
45,Vermont,30644,30656,30543,30266,30035,33675,32963,32421,31903,31503,35766,35203,34467,33995,33970,44669,44059,43357,42755,41866,45411,46312,46799,46700,46304,35608,35572,35742,36217,36646,36014,36214,36040,36068,36334,33949,34086,34575,35161,35966,38910,37395,35911,34270,33685,43620,42027,40939,40401,39500,50571,49467,48133,45957,44150,50518,50697,50290,50260,49497,44684,45402,46199,46599,47332,35031,36865,38510,40449,40502,24092,25368,26637,27420,30164,16495,16885,17301,18164,19145,12647,12542,12552,12627,12786,13740,13952,14039,14142,14272
46,Virginia,510510,511371,511782,511889,511674,522862,519512,518510,517318,515223,520688,522662,520774,521365,524468,538432,535718,536570,538830,539939,593854,596502,592834,586918,582807,581155,585551,590288,594304,600684,573771,579362,579837,581858,584586,526558,534021,545661,558616,569434,567562,557230,544934,529474,524298,584782,570714,565694,566676,565582,610104,611973,607527,595743,583421,557731,565925,573799,580305,582522,467915,477618,489317,500961,513954,380154,397629,414737,431963,428765,269264,282737,294018,303620,330753,186888,194256,200941,208818,219406,134557,135599,137573,140626,143970,134902,138522,141971,145096,148534
47,Washington,442649,443763,445894,451668,458213,446500,449817,455163,460830,463282,437660,438516,439824,444445,453321,439297,438037,440184,443886,444646,491302,491564,487088,482574,479223,494903,508745,527228,550150,571834,496871,508363,519362,533913,545545,448780,459723,476078,496698,517003,467257,460376,454297,450054,456046,457857,454962,461665,472049,477243,495903,493233,486944,476695,467452,480440,483214,487483,491829,492542,419415,430733,443103,454167,464351,330611,348444,367778,389008,391452,223650,238524,252239,263426,290311,152801,159252,165597,173396,183278,112246,112491,113771,115598,118584,125268,127174,129120,130548,131417
48,West Virginia,102720,102387,101965,100477,98484,105904,105100,104219,103311,102025,107864,107372,106160,105204,104697,112229,111055,110235,109299,108132,125996,125317,122065,118148,114985,105736,107289,109825,112394,113337,112564,110251,107110,104936,102733,110756,110966,111411,111518,110256,120231,118021,115152,110773,108588,122439,119287,117961,118177,117570,134431,131388,128442,124522,121351,139815,138822,137038,135041,131325,131506,131196,131267,130565,130775,105166,110979,116063,121191,119745,77832,79429,81138,81840,88789,57269,58872,59254,60494,61795,40999,40399,40403,40767,41460,38876,39494,40059,39980,39810
49,Wisconsin,343697,340957,337761,336560,335888,367186,364099,361915,357487,353389,372315,371275,368540,367281,368569,386365,383203,382367,381441,380230,401869,407189,408139,406570,401781,359643,357448,355050,357066,365520,370847,372274,370667,369407,365840,335187,341635,349736,358416,365703,358066,348298,338710,328915,328433,393485,380175,372126,368074,360999,439202,434740,425483,411683,399236,413220,418568,423396,428373,428373,351107,361153,370982,378659,386965,265861,281114,297341,315734,321017,193937,200955,207789,213275,231392,144948,148879,150468,153728,159791,114444,112360,111618,112104,113509,125294,126950,127656,128144,128848
50,Wyoming,38754,38418,38377,37882,37031,40248,40721,41028,40309,38858,36873,37216,37752,38433,38774,37309,36580,36739,36413,36116,43142,42866,41682,40270,38243,40814,40933,40937,40357,39511,40799,41191,41465,41305,40003,35108,35896,37313,38126,38428,34184,33968,33606,33244,33191,33989,32742,32654,32867,32749,42023,40275,38229,35878,33950,43299,42888,42519,41946,40525,37029,37704,38645,39541,40329,27299,28895,30574,32361,32650,18974,19782,20542,21233,23294,13264,13738,14196,14614,15241,9619,9545,9618,9699,9913,9614,9976,10226,10432,10509
51,Puerto Rico,195598,184598,172388,160416,147970,215357,207650,198778,187888,177739,238977,228653,216942,206363,198257,260427,250224,242640,234086,222678,262649,257907,249284,240382,232150,224397,223066,224972,225459,223828,230016,220509,208538,198539,190755,228535,224052,220875,215264,207678,230386,225482,219515,212952,208209,236261,229366,224106,219456,214945,235597,234470,231736,228743,224402,226059,225052,224408,222191,219484,209708,209069,208673,209556,210332,196264,198883,200781,198935,195563,149059,153414,158304,165391,171623,109950,113389,116297,119217,123063,72950,75370,78757,81577,84508,70887,73720,76183,80105,83993
